brand,url_part,title,final Price,Original Price,product desc,material
AKS,kurtas/aks/aks-women-navy-printed-detail-straight-kurta/2111515/buy,Printed Detail Straight Kurta,649,1299,"Navy and red printed detail straight kurta with tassels, has a round neck, a patch pocket, short sleeves, straight hem, side slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-grey--off-white-screen-print-a-line-kurta/2249976/buy,Screen Print A-Line Kurta,649,1299,"Grey and off-white screen print A-line kurta, has a cowl neck, short sleeves, asymmetric hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-green-embroidered-straight-kurta/2382480/buy,Embroidered Straight Kurta,1099,2199,"Green embroidered detail straight kurta, has a stylised mandarin collar with a concealed hook-and-eye closure, three-quarter sleeves, straight hem, multiple slits",Chanderi silkMachine-wash
AKS,kurtas/aks/aks-women-green--peach-coloured-floral-print-off-shoulder-straight-kurta/2111396/buy,Off-Shoulder Straight Kurta,629,899,"Green and peach-coloured printed layered pff-shoulder straight kurta, has a hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-yellow-embroidered-straight-kurta/2382482/buy,Embroidered Straight Kurta,1036,1699,"Yellow embroidered straight kurta, has a round neck with a short concealed hook-and-eye placket, three-quarter sleeves, straight hem, side slits",Chanderi Silk  Machine-wash
AKS,kurtas/aks/aks-women-green-printed-cold-shoulder-straight-kurta/2111372/buy,Printed Straight Kurta,604,1099,"Green and orange printed straight kurta, has a square neck, short cold-shoulder sleeves, straight hem, side slits",Rayon  Machine-wash
AKS,kurtas/aks/aks-women-grey--blue-printed-straight-kurta/2493377/buy,Printed Straight Kurta,674,899,"Grey and blue printed straight kurta, has a keyhole neck, short sleeves, straight hem, side slits",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-off-white--blue-printed-high-low-a-line-kurta/2463727/buy,Printed High-Low A-Line Kurta,1039,1599,"Off-white, blue and green printed A-line kurta, has a mandarin collar, short sleeves, button placket, high-low flared hem, front slit",Polyester georgetteMachine-wash
AKS,kurtas/aks/aks-women-pink--cream-coloured-printed-a-line-kurta/2167344/buy,Printed A-Line Kurta,604,1099,"Pink and cream-coloured printed A-line kurta, has a round neck, three-quarter sleeves, flared hem",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-navy-blue-printed-detail-a-line-kurta/2250046/buy,Printed Detail A-Line Kurta,649,1299,"Navy blue printed A-line kurta with pleated detail, has a round neck with tie-up detail, short sleeves, flared hem, no slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-white-embroidered-detail-chanderi-silk-straight-kurta/2382483/buy,Embroidered Straight Kurta,1036,1699,"White embroidered detail straight kurta, has a round neck with concealed hook-and-eye closures, three-quarter sleeves, straight hem, side slits",Chanderi silkMachine-wash
AKS,kurtas/aks/aks-women-green--orange-floral-print-a-line-kurta/2493425/buy,Floral Print A-Line Kurta,1044,1899,"Green and orange printed A-line kurta, has a V-neck, three-quarter sleeves, flared hem",ViscoseMachine-wash
AKS,kurtas/aks/aks-women-blue--off-white-ethnic-print-straight-kurta/2382499/buy,Ethnic Print Straight Kurta,659,1199,"Blue and off-white ethnic print straight kurta, has a round neck, long flared sleeves with tie-up detail, straight hem, side slits",Cotton Machine-wash
AKS,kurtas/aks/aks-women-cream-coloured--blue-printed-straight-kurta/2448872/buy,Printed Straight Kurta,659,1099,"Cream-coloured and blue printed straight kurta, has a round neck, short sleeves, straight hem, side slits, 2 pockets",Cotton Machine-wash
AKS,kurtas/aks/aks-women-navy-blue-embroidered-straight-kurta/1945064/buy,Embroidered Straight Kurta,649,1299,"Navy blue embroidered straight kurta, has a mandarin collar, short button placket, three-quarter sleeves, straight hem, side slits",Viscose  Machine-wash
AKS,kurtas/aks/aks-women-mustard--maroon-printed-a-line-kurta-with-ethnic-jacket/2250061/buy,Printed A-Line Kurta,649,1299,"Mustard and maroon printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slitsComes with a maroon printed jacket",Cotton  Machine-wash
AKS,kurtas/aks/aks-women-brown--pink-floral-print-off-shoulder-straight-kurta/2111397/buy,Off-Shoulder Straight Kurta,629,899,"Brown printed off-shoulder layered straight kurta, has a straight hem, side slits",Cotton  Machine-wash
